id	annotatorid	label	a1	a2
2754_2924	goldLabel	a1	Autonomous vehicles can be designed to know their own limitations, whereas a study from NYU found that most human drivers rate their driving skills as above average.	Many drivers today simply do what their GPS app tell them to, so why not use self-driving cars to do the whole process
3489_3502	goldLabel	a1	Even if one has concerns about the deployment of autonomous cars, stopping their development is unwise because new things can be learned and it is likely they have some future role to play.	Early teething problems cannot be a reason to judge a technology's potential.  We should accelerate development of autonomous cars so fewer humans are on the road to cause accidents
2770_3405	goldLabel	a1	Development of autonomous cars brings technologies that can be applied to current cars, making them safer and more friendly to the environment.	If all cars on every road were autonomous vehicles then human error would be eliminated and the roads would become much safer places.
3309_3335	goldLabel	a1	Autonomous cars increase our free time, because instead of driving people can now work or engage in entertainment during their commute.	"Autonomous cars are not quite ready to deploy, but they will be safer than human-driven cars.

"
2756_3335	goldLabel	a1	Autonomous cars can save parking areas since the cars can continue serving other passengers	"Autonomous cars are not quite ready to deploy, but they will be safer than human-driven cars.

"
2980_3052	goldLabel	a2	The technology for driverless cars will mature over time, similarly to many other technologies we use every day.	Self driving cars can reduce traffic accidents, which means there will be fewer deaths and injuries caused by these accidents.
2800_2899	goldLabel	a2	Autonomous cars prove to be quite efficient, and will become better over time - we must continue developing them to reach their full potential	Humans make mistakes when driving  which cause fatalities. It is unlikely that autonomous cars will make more mistakes than humans.
3083_2845	goldLabel	a2	As long as human kind exist in this world, there is need for transportation, however having autonomous vehicle would let human to spend time on gaining  new skills beyond just driving. 	Autonomous cars will definitely help in solving some of our accidents and fatalities in car accidents. It should also improve our quality of life as hopefully it can also alleviate congestion on highways.
2884_3254	goldLabel	a1	Autonomous cars will be safer than human driven vehicles. Additionally, they can coordinate to reduce traffic on roads, and speed up commute times for all vehicles. 	90% of traffic accidents are due (at least partially) to human error. Traffic accidents are a mayor death cause. Autonomous cars will make those number drop drastically.
3169_3043	goldLabel	a2	Humans often perceive their ability to be higher than it truly is and thus behave dangerously while driving because they think they are especially good drivers; autonomous vehicle has an accurate perception of its abilities.	Autonomous cars have all human beings' capabilities plus advantages like never tired, faster reaction and further detection abilities. The arguable point is unexpected emergency handling which human being also have different results among different populations.
2898_3401	goldLabel	a1	Autonomous vehicles do not have lapses of inattention that are the root cause of many accidents. Autonomous vehicles may not text while driving. They do not get intoxicated either.	Autonomous vehicles provide a significant challenge to science and engineering that will make transportation safer and benefit society beyond transportation just like the race to put a man on the moon.
2984_3138	goldLabel	a1	"Because autonomous cars are so much safer than human drivers, their widespread adoption could save over 40,000 lives in the United States alone each year.

"	Drivers admitted failure to report collisions at 29%. Therefore, flipping the switch on autonomous cars would achieve 0% improvement in reported crashes - actually a 29% decrease.
2871_2763	goldLabel	a2	Autonomous cars are going to affect humanity in a good way, and IBM should be a driving force in this industry	Autonomous cars can potentially communicate with one another and create a safe driving environment decreasing accidents significantly.
3511_3212	goldLabel	a2	Machines are much better at obeying rules of the road and a road system with completely autonomous cars will be more safer for everyone.	Machines are just better than humans at executing algorithmic tasks, such as driving. As a consequence, autonomous cars will perform better than human drivers.
3493_3156	goldLabel	a1	"Autonomous cars will reduce the 40,000 casualties a year (in the US alone) by two orders of magnitude.



Don't drive - save lives - let the computer do that for you"	I waste a lot of time on my commute every day. I wish I had an autonomous car to give me back several hours a week that I could use for other things.
2768_2919	goldLabel	a1	Autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.	Autonomous cars will be more efficient, allowing the easy sharing of vehicles in a metropolitan area, also reducing miles driven, energy usage and pollution.
2756_3506	goldLabel	a2	Autonomous cars can save parking areas since the cars can continue serving other passengers	"Autonomous cars are much safer than those driven by humans

"
3093_3384	goldLabel	a1	Autonomous cars will free people from the need to drive and allow them to pursue more valuable activities.	Development of autonomous cars will also boost the development of electric cars, since those two technologies are closely related. 
2768_3104	goldLabel	a1	Autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.	Autonomous cars will be able to drive much closer together, making traffic move much smoother and lessening traffic jams. 
3209_3207	goldLabel	a1	Autonomous cars will enable travel options for the young, old and impaired that are currently not avaialable.	Autonomous cars will never make accident because of being tired or drunk
2769_3035	goldLabel	a1	If we were to stop the development of autonomous cars,  we would eliminate an avenue for potentially ending automotive homicide as we currently know it.	"Cars are not used for most of their ""life"", mainly being ""clutter"" on the sides of our roads, autonomous vehicles will need fewer cars, taking less space."
3459_3201	goldLabel	a1	Autonomous cars will be more efficient, thus reducing the pollution from cars	Autonomous cars are much safer than human drivers in some situations
3093_2980	goldLabel	a1	Autonomous cars will free people from the need to drive and allow them to pursue more valuable activities.	The technology for driverless cars will mature over time, similarly to many other technologies we use every day.
3345_3185	goldLabel	a2	Development of autonomous cars boosts the development of sensing technologies, which have a positive impact on overall safer driving.	Autonomous cars will reduce number of accidents since most accidents are due to a human error.
2783_2754	goldLabel	a2	Inventions to make driving simpler and safer, for e.g., automatic transmission, are small steps towards autonomous cars that have been going on since the invention of the automobile.	Autonomous vehicles can be designed to know their own limitations, whereas a study from NYU found that most human drivers rate their driving skills as above average.
2783_3493	goldLabel	a2	Inventions to make driving simpler and safer, for e.g., automatic transmission, are small steps towards autonomous cars that have been going on since the invention of the automobile.	"Autonomous cars will reduce the 40,000 casualties a year (in the US alone) by two orders of magnitude.



Don't drive - save lives - let the computer do that for you"
3212_3035	goldLabel	a1	Machines are just better than humans at executing algorithmic tasks, such as driving. As a consequence, autonomous cars will perform better than human drivers.	"Cars are not used for most of their ""life"", mainly being ""clutter"" on the sides of our roads, autonomous vehicles will need fewer cars, taking less space."
3222_3138	goldLabel	a1	Driverless cars are likely to improve with use and over time, so if developed, the technology will likely be safer than humans in the future.	Drivers admitted failure to report collisions at 29%. Therefore, flipping the switch on autonomous cars would achieve 0% improvement in reported crashes - actually a 29% decrease.
3110_3387	goldLabel	a1	Autonomous vehicles for shipping can provide real-time shipment tracking safely as there is no driver privacy involved, nor is there information about a vehicle at rest (when it is most prone to content theft).	Technology development is inevitable, and we should not stop the development of self-driving cars, but work to understand the ramifications and consequences of what we are designing and deploying. 
2865_3169	goldLabel	a1	If all human drivers are replaced by autonomous vehicles, there will no longer be a need for traffic lights and other traffic management systems which add significant overhead to all driving.	Humans often perceive their ability to be higher than it truly is and thus behave dangerously while driving because they think they are especially good drivers; autonomous vehicle has an accurate perception of its abilities.
2884_3394	goldLabel	a1	Autonomous cars will be safer than human driven vehicles. Additionally, they can coordinate to reduce traffic on roads, and speed up commute times for all vehicles. 	A large part of the inefficiencies of vehicles is due to air resistance, a convoy of autonomous cars or trucks can drive closer and be much more efficient.
3483_3401	goldLabel	a1	Autonomous cars probably won’t be perfect, but the computers they use to calculate things like stopping distance and proximity to other vehicles will make them much more reliable than a human.	Autonomous vehicles provide a significant challenge to science and engineering that will make transportation safer and benefit society beyond transportation just like the race to put a man on the moon.
2810_3117	goldLabel	a1	Autonomous cars will reduce the number of traffic fatalities.	Autonomous vehicle will ameliorate the harm  caused by car accidents.
3199_3260	goldLabel	a2	Autonomous vehicles to replace truckers and cab drivers will allow us to scale to a smaller number of humans making society more sustainable. 	Autonomous cars will enable people who cannot otherwise drive, such as those with medical disabilities, to get around and make more things accessible for them. 
3248_3443	goldLabel	a2	A connected car extends the eyes of the driver to have a holistic view towards the destination, thus supporting and bringing safety to autonomous cars supervised by human drivers	As featured in IEEE Spectrum (October 2018), communication between autonomous cars may significantly reduce urban driving times by allowing more efficient flow of traffic through intersections.
3019_3485	goldLabel	a1	Communication between autonomous cars will enable them to more efficiently plan traffic flow, thereby reducing congestion, reducing travel time, and saving energy.	Driverless cars remove the cost of the time spent by a driver, which is a natural step in making transportation cheaper. 
3309_3416	goldLabel	a2	Autonomous cars increase our free time, because instead of driving people can now work or engage in entertainment during their commute.	Autonomous cars will be safer because they do not get drunk, nor do they take mind altering drugs, nor do they get tired.
2763_3213	goldLabel	a1	Autonomous cars can potentially communicate with one another and create a safe driving environment decreasing accidents significantly.	As autonomous cars would communicate with each other, roads will be more utilized and transport more cars. 
2830_3495	goldLabel	a1	Much like the 'space race', the development of autonomous cars will produce technology that can be applied to universally to solve other problems.	Taking power naps in autonomous cars is much better than in traditional cars - especially when you are the driver
3019_2861	goldLabel	a1	Communication between autonomous cars will enable them to more efficiently plan traffic flow, thereby reducing congestion, reducing travel time, and saving energy.	Development can only be of benefit, there is no reason not to try and work on autonomous cars (cautiously!), even if eventually it fails
3104_3014	goldLabel	a1	Autonomous cars will be able to drive much closer together, making traffic move much smoother and lessening traffic jams. 	Although it will take years until autonomous cars, we still need to invest now to be prepared for the future.
2919_3248	goldLabel	a1	Autonomous cars will be more efficient, allowing the easy sharing of vehicles in a metropolitan area, also reducing miles driven, energy usage and pollution.	A connected car extends the eyes of the driver to have a holistic view towards the destination, thus supporting and bringing safety to autonomous cars supervised by human drivers
3169_3340	goldLabel	a1	Humans often perceive their ability to be higher than it truly is and thus behave dangerously while driving because they think they are especially good drivers; autonomous vehicle has an accurate perception of its abilities.	More testing is needed, but autonomous cars of future would lower road rage by design. Aggressive and unsafe driving is not allowed by design - just a safe drive from point A to B. 
2916_2980	goldLabel	a1	With driverless cars, overall fewer people will be killed and injured in accidents than are today with human-driven cars.	The technology for driverless cars will mature over time, similarly to many other technologies we use every day.
3221_3016	goldLabel	a2	"Autonomous cars will allow drivers to use their time more productively.



"	Although autonomous cars are still not perfect, they are safer than human-driven cars.
3022_3474	goldLabel	a2	the autonomous car is a good idea to avoid jams	Autonomous cars will result in less road traffic since they can coordinate with each other.
2975_3175	goldLabel	a1	Autonomous cars will never get tired nor be influenced by drugs and alcohol, hence they will be safer than human controlled cars.	Autonomous cars will give people who are blind a great expansion in independence and quality of life.
3201_3221	goldLabel	a1	Autonomous cars are much safer than human drivers in some situations	"Autonomous cars will allow drivers to use their time more productively.



"
3162_3048	goldLabel	a1	Autonomous vehicles will respect speed limits and guarantee safety in any single moment. 	Autonomous cars will ease people and reduce traffic
3506_3477	goldLabel	a1	"Autonomous cars are much safer than those driven by humans

"	Autonomous cars could be very beneficial for people with disabilities.
3202_2830	goldLabel	a2	We should not stop the development of autonomous cars rather we should strive to make each and every car autonomous.	Much like the 'space race', the development of autonomous cars will produce technology that can be applied to universally to solve other problems.
3434_3477	goldLabel	a2	Autonomous cars are not less safer than auto-pilot in airplanes. 	Autonomous cars could be very beneficial for people with disabilities.
3248_3266	goldLabel	a2	A connected car extends the eyes of the driver to have a holistic view towards the destination, thus supporting and bringing safety to autonomous cars supervised by human drivers	Autonomous cars will bring remedy to spatial problems in cities. They will simplify car sharing such that the need for parking lots will be decreased substantially.
3309_2884	goldLabel	a2	Autonomous cars increase our free time, because instead of driving people can now work or engage in entertainment during their commute.	Autonomous cars will be safer than human driven vehicles. Additionally, they can coordinate to reduce traffic on roads, and speed up commute times for all vehicles. 
3175_3167	goldLabel	a2	Autonomous cars will give people who are blind a great expansion in independence and quality of life.	Autonomous cars will help to reduce traffic jams, accidents caused by human misjudgements and will make travelling by car more relaxing overall.
2807_2949	goldLabel	a1	More testing is needed,  but autonomous cars of future would not be distracted by a phone, take us to our destination when we are  tired, sick, under an influence or are just a bad driver.	With an autonomous cars we will no longer need to make space for parking lots or structures, instead we will have an ever moving pool of vehicles to drive us.
3235_3117	goldLabel	a2	If autonomous cars were mandatory, they could prevent reckless driving.	Autonomous vehicle will ameliorate the harm  caused by car accidents.
3022_3447	goldLabel	a2	the autonomous car is a good idea to avoid jams	Autonomous cars will not suffer from human weaknesses such as tiredness and lack of concentration
3340_2807	goldLabel	a2	More testing is needed, but autonomous cars of future would lower road rage by design. Aggressive and unsafe driving is not allowed by design - just a safe drive from point A to B. 	More testing is needed,  but autonomous cars of future would not be distracted by a phone, take us to our destination when we are  tired, sick, under an influence or are just a bad driver.
2845_3043	goldLabel	a1	Autonomous cars will definitely help in solving some of our accidents and fatalities in car accidents. It should also improve our quality of life as hopefully it can also alleviate congestion on highways.	Autonomous cars have all human beings' capabilities plus advantages like never tired, faster reaction and further detection abilities. The arguable point is unexpected emergency handling which human being also have different results among different populations.
3016_3434	goldLabel	a1	Although autonomous cars are still not perfect, they are safer than human-driven cars.	Autonomous cars are not less safer than auto-pilot in airplanes. 
3254_3056	goldLabel	a1	90% of traffic accidents are due (at least partially) to human error. Traffic accidents are a mayor death cause. Autonomous cars will make those number drop drastically.	Autonomous cars allow us to be less distracted from the traffic and congested roads. Therefore, we should promote the development of autonomous cars.
3345_3384	goldLabel	a1	Development of autonomous cars boosts the development of sensing technologies, which have a positive impact on overall safer driving.	Development of autonomous cars will also boost the development of electric cars, since those two technologies are closely related. 
3014_3426	goldLabel	a2	Although it will take years until autonomous cars, we still need to invest now to be prepared for the future.	Autonomous cars will allow humans to relax during commute, therefore, they are more fresh for work or enjoying family time.
3052_3108	goldLabel	a1	Self driving cars can reduce traffic accidents, which means there will be fewer deaths and injuries caused by these accidents.	The safety of autonomous cars will be less of an issue as the infrastructure and technology evolve.
2768_3266	goldLabel	a1	Autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.	Autonomous cars will bring remedy to spatial problems in cities. They will simplify car sharing such that the need for parking lots will be decreased substantially.
3434_3201	goldLabel	a2	Autonomous cars are not less safer than auto-pilot in airplanes. 	Autonomous cars are much safer than human drivers in some situations
2861_3222	goldLabel	a2	Development can only be of benefit, there is no reason not to try and work on autonomous cars (cautiously!), even if eventually it fails	Driverless cars are likely to improve with use and over time, so if developed, the technology will likely be safer than humans in the future.
3483_2956	goldLabel	a2	Autonomous cars probably won’t be perfect, but the computers they use to calculate things like stopping distance and proximity to other vehicles will make them much more reliable than a human.	Autonomous vehicle systems such as automatic emergency braking  and lane keep assist have already made driving much safer. It would thus be irrational to stop development of them.
2898_2956	goldLabel	a2	Autonomous vehicles do not have lapses of inattention that are the root cause of many accidents. Autonomous vehicles may not text while driving. They do not get intoxicated either.	Autonomous vehicle systems such as automatic emergency braking  and lane keep assist have already made driving much safer. It would thus be irrational to stop development of them.
2852_2968	goldLabel	a2	Humans are notoriously bad drivers so even if autonomous vehicles are not yet perfect, over time they can significantly improve accident rates, congestion, pollution, and reduce insurance costs.	Autonomous cars provide mobility also for those people who would not be able or allowed to drive anymore, such as senior citizens, people with disabilities, etc.  
3082_2859	goldLabel	a1	Having only autonomous cars are the road will greatly improve safety and reduce the number of fatalities, taking the human element out of the equation.	We should continue the development of autonomous vehicles, but implement it in a public situation until there is no risk.
3022_3184	goldLabel	a2	the autonomous car is a good idea to avoid jams	Autonomous cars will reduce pollution, reduce congestion and provide better value for money and transportation.
2896_3338	goldLabel	a1	"Autonomous cars are safer because they rely on complex algorithms to determine appropriate driving behavior. Furthermore, they are not ""distracted"" by cellphones, nor do they speed or drive while tired or drunk! "	Autonomous vehicles will be safer especially trucks. People who say trucking is the most popular job in America are wrong and  only a relatively few people will lose jobs. See https://www.marketwatch.com/story/no-truck-driver-isnt-the-most-common-job-in-your-state-2015-02-12
2888_3387	goldLabel	a1	Fully autonomous vehicles can revolutionize individual travel for long distance journeys, providing the once-heralded ease of train travel to individual users traveling on arbitrary routes. 	Technology development is inevitable, and we should not stop the development of self-driving cars, but work to understand the ramifications and consequences of what we are designing and deploying. 
3110_3156	goldLabel	a1	Autonomous vehicles for shipping can provide real-time shipment tracking safely as there is no driver privacy involved, nor is there information about a vehicle at rest (when it is most prone to content theft).	I waste a lot of time on my commute every day. I wish I had an autonomous car to give me back several hours a week that I could use for other things.
2783_2800	goldLabel	a2	Inventions to make driving simpler and safer, for e.g., automatic transmission, are small steps towards autonomous cars that have been going on since the invention of the automobile.	Autonomous cars prove to be quite efficient, and will become better over time - we must continue developing them to reach their full potential
2754_3387	goldLabel	a1	Autonomous vehicles can be designed to know their own limitations, whereas a study from NYU found that most human drivers rate their driving skills as above average.	Technology development is inevitable, and we should not stop the development of self-driving cars, but work to understand the ramifications and consequences of what we are designing and deploying. 
3345_3405	goldLabel	a2	Development of autonomous cars boosts the development of sensing technologies, which have a positive impact on overall safer driving.	If all cars on every road were autonomous vehicles then human error would be eliminated and the roads would become much safer places.
3171_3004	goldLabel	a1	Autonomous cars have already demonstrated a lower risk of accidents than human drivers in real world conditions.	Autonomous cars can reduce the traffic because multiple people can share one car
2863_3406	goldLabel	a2	Autonomous cars will finally end our dependency on taxi drivers	If all cars were autonomous vehicles, traffic would flow more smoothly more of the time.
2849_3025	goldLabel	a2	Autonomous cars are safer than human drivers, they never get tired and are always alert.	Autonomous cars will be a significant contributor to solving the issue of greenhouse gas emissions and climate change.
3335_2763	goldLabel	a2	"Autonomous cars are not quite ready to deploy, but they will be safer than human-driven cars.

"	Autonomous cars can potentially communicate with one another and create a safe driving environment decreasing accidents significantly.
3479_3156	goldLabel	a1	"An ""Autonomous vehicle"" has an array of sensors and processing a computing system have capabilities beyond ones of humans. The ethical components are edge cases not caused by AI but rather humans driving causing issues"	I waste a lot of time on my commute every day. I wish I had an autonomous car to give me back several hours a week that I could use for other things.
2985_2826	goldLabel	a2	Autonomous cars are going to happen. The scope can be contained to limit risks to the public, but their development is going to happen for the benefit of humanity. 	Autonomous cars should be developed because they're going to be much safer than human drivers: They don't drink, they don't smoke, they don't sleep, they aren't distracted.
2849_3434	goldLabel	a1	Autonomous cars are safer than human drivers, they never get tired and are always alert.	Autonomous cars are not less safer than auto-pilot in airplanes. 
3483_3043	goldLabel	a2	Autonomous cars probably won’t be perfect, but the computers they use to calculate things like stopping distance and proximity to other vehicles will make them much more reliable than a human.	Autonomous cars have all human beings' capabilities plus advantages like never tired, faster reaction and further detection abilities. The arguable point is unexpected emergency handling which human being also have different results among different populations.
3221_2849	goldLabel	a2	"Autonomous cars will allow drivers to use their time more productively.



"	Autonomous cars are safer than human drivers, they never get tired and are always alert.
3083_2884	goldLabel	a2	As long as human kind exist in this world, there is need for transportation, however having autonomous vehicle would let human to spend time on gaining  new skills beyond just driving. 	Autonomous cars will be safer than human driven vehicles. Additionally, they can coordinate to reduce traffic on roads, and speed up commute times for all vehicles. 
3222_3485	goldLabel	a1	Driverless cars are likely to improve with use and over time, so if developed, the technology will likely be safer than humans in the future.	Driverless cars remove the cost of the time spent by a driver, which is a natural step in making transportation cheaper. 
3274_3099	goldLabel	a1	Autonomous cars will make independence possible for the elderly, and people with disabilities such as blindness.	are you crazy? self driving cars will increase road safety if we get it right. 
3357_2949	goldLabel	a1	Humans tend to break rules, intentionally or unintentionally. Autonomous cars will stick with the rules and will perform better on the road, leading to better order and efficiencies.	With an autonomous cars we will no longer need to make space for parking lots or structures, instead we will have an ever moving pool of vehicles to drive us.
2830_2980	goldLabel	a1	Much like the 'space race', the development of autonomous cars will produce technology that can be applied to universally to solve other problems.	The technology for driverless cars will mature over time, similarly to many other technologies we use every day.
3181_3485	goldLabel	a1	Even only 5% of autonomous vehicles could have a significant impact in eliminating waste and reducing the total fuel consumption by up to 40%.	Driverless cars remove the cost of the time spent by a driver, which is a natural step in making transportation cheaper. 
3209_2859	goldLabel	a1	Autonomous cars will enable travel options for the young, old and impaired that are currently not avaialable.	We should continue the development of autonomous vehicles, but implement it in a public situation until there is no risk.
2735_2962	goldLabel	a2	Thomas Edison would argue to continue autonomous car development since his spirit of perseverance is captured in his famous quote: “I have not failed. I've just found 10,000 ways that won't work.” 	Driving is, by far, the MOST dangerous activity a human will do in their lifetime.  Autonomous cars can provide a safe mode of transportation and save the lives of motorists.
2919_3394	goldLabel	a1	Autonomous cars will be more efficient, allowing the easy sharing of vehicles in a metropolitan area, also reducing miles driven, energy usage and pollution.	A large part of the inefficiencies of vehicles is due to air resistance, a convoy of autonomous cars or trucks can drive closer and be much more efficient.
2888_2813	goldLabel	a1	Fully autonomous vehicles can revolutionize individual travel for long distance journeys, providing the once-heralded ease of train travel to individual users traveling on arbitrary routes.	We should not stop the development of autonomous cars, but we need proper assignment of responsibility to their makers, else safety will fall short.
3043_2896	goldLabel	a2	Autonomous cars have all human beings' capabilities plus advantages like never tired, faster reaction and further detection abilities. The arguable point is unexpected emergency handling which human being also have different results among different populations.	"Autonomous cars are safer because they rely on complex algorithms to determine appropriate driving behavior. Furthermore, they are not ""distracted"" by cellphones, nor do they speed or drive while tired or drunk!"
3211_2949	goldLabel	a2	In the future all cars will need to be Autonomous Car as this is the only way that we will be able cope with the traffic levels on our roads	With an autonomous cars we will no longer need to make space for parking lots or structures, instead we will have an ever moving pool of vehicles to drive us.
3405_2852	goldLabel	a2	If all cars on every road were autonomous vehicles then human error would be eliminated and the roads would become much safer places.	Humans are notoriously bad drivers so even if autonomous vehicles are not yet perfect, over time they can significantly improve accident rates, congestion, pollution, and reduce insurance costs.
3138_2962	goldLabel	a2	Drivers admitted failure to report collisions at 29%. Therefore, flipping the switch on autonomous cars would achieve 0% improvement in reported crashes - actually a 29% decrease.	Driving is, by far, the MOST dangerous activity a human will do in their lifetime. Autonomous cars can provide a safe mode of transportation and save the lives of motorists.
2915_3436	goldLabel	a1	Autonomous cars will eliminate human errors, and reduce the accident rate significantly	Self driving cars will remove the burden of driving from people.
2980_3406	goldLabel	a2	The technology for driverless cars will mature over time, similarly to many other technologies we use every day.	If all cars were autonomous vehicles, traffic would flow more smoothly more of the time.
3401_3479	goldLabel	a1	Autonomous vehicles provide a significant challenge to science and engineering that will make transportation safer and benefit society beyond transportation just like the race to put a man on the moon.	"An ""Autonomous vehicle"" has an array of sensors and processing a computing system have capabilities beyond ones of humans. The ethical components are edge cases not caused by AI but rather humans driving causing issues"
2899_3167	goldLabel	a2	Humans make mistakes when driving which cause fatalities. It is unlikely that autonomous cars will make more mistakes than humans.	Autonomous cars will help to reduce traffic jams, accidents caused by human misjudgements and will make travelling by car more relaxing overall.
3321_3047	goldLabel	a2	The use of multiple systems that increase the safety and detection of dangerous elements and conditions can increase the safety of self-driving cars, beyond the capabilities of a driver with the use of new technology.	Self-driving cars could greatly reduce road deaths. 1.3 million people in the US die in road crashes each year. NPR reports that 94% of car crashes are caused by human error.
3238_2924	goldLabel	a1	Autonomous vehicles will be transformative for the shipping industry and have large scale impacts on delivery costs that will benefit consumers.	Many drivers today simply do what their GPS app tell them to, so why not use self-driving cars to do the whole process
